"","Start_Date","mean","q10","q50","q90"
"1",2020-01-01,829.484061152387,0,0,1716.04333280759
"2",2020-01-02,1319.32926754162,853.847777428896,886.765236543475,1845.11908473056
"3",2020-01-03,1635.59884706607,1087.73726118381,1137.57402008437,2211.36907035274
"4",2020-01-04,0,0,0,0
"5",2020-01-05,406.855344039016,0,0,843.637899556695
"6",2020-01-06,2295.03051153664,1660.83590952016,1720.24989052706,2957.14782540644
"7",2020-01-07,1413.04847237018,837.733574705074,855.243032549502,1990.88316640906
"8",2020-01-08,769.766147921943,0,0,1613.065717521
"9",2020-01-09,2333.60685257467,1202.75747384562,1329.19826614871,3456.65173391409
"10",2020-01-10,1085.932752326,596.777200216958,684.018882562187,1599.96716856484
"11",2020-01-11,0,0,0,0
"12",2020-01-12,325.148301915206,0,0,654.186959861406
"13",2020-01-13,1750.85419379882,674.434985951252,876.6232542732,2926.11442491564
"14",2020-01-14,215.139180484229,0,0,482.603247528315
"15",2020-01-15,613.872566051149,0,0,1364.53880208041
"16",2020-01-16,1492.13101395479,545.034543180696,683.307267829798,2374.61282801395
"17",2020-01-17,1148.4820001638,1084.85280545156,1124.39721323524,1222.00734349224
"18",2020-01-18,0,0,0,0
"19",2020-01-19,0,0,0,0
"20",2020-01-20,1282.85230306544,704.927084974189,727.097371647185,1870.58969783176
"21",2020-01-21,316.529624594007,153.562206285484,210.703612823185,483.644704813829
"22",2020-01-22,602.854919385141,0,0,1244.7283175507
"23",2020-01-23,955.967498432002,34.5375014105034,37.9543482745739,1884.99761902543
"24",2020-01-24,541.345441716259,361.678756210769,409.693976370283,720.226722415438
"25",2020-01-25,0,0,0,0
"26",2020-01-26,0,0,0,0
"27",2020-01-27,1334.22987996554,922.141282762201,1032.95627449194,1848.8119417964
"28",2020-01-28,196.025334072921,123.822820830078,128.11686510324,301.370239818942
"29",2020-01-29,508.402674986494,0,0,1061.84261520358
"30",2020-01-30,838.266353655666,403.778471993222,429.830548363739,1275.62091966244
"31",2020-01-31,353.735153664664,0,0,748.788066996757
"32",2020-02-01,0,0,0,0
"33",2020-02-02,6.11030750631313,0,0,14.6742909363977
"34",2020-02-03,1097.59817957961,436.527376867887,524.668626748443,1809.57901081055
"35",2020-02-04,158.620278782921,0,0,321.921252409628
"36",2020-02-05,577.053950437888,0,0,1157.78532990591
"37",2020-02-06,765.393841410203,0,0,1532.08743911075
"38",2020-02-07,601.740633897247,0,0,1214.28655524995
"39",2020-02-08,0,0,0,0
"40",2020-02-09,278.821165858091,0,0,641.050951763961
"41",2020-02-10,777.233446069177,0,0,1697.00772007286
"42",2020-02-11,572.800990064075,510.040951998705,552.019882485172,614.621780926498
"43",2020-02-12,477.294817187221,0,0,973.22692961153
"44",2020-02-13,475.81047050246,0,0,1068.52092811553
"45",2020-02-14,502.617350044937,0,0,1060.95983734134
"46",2020-02-15,0,0,0,0
"47",2020-02-16,0,0,0,0
"48",2020-02-17,441.762897896363,0,0,948.230542246199
"49",2020-02-18,623.281297734124,0,0,1257.15018589271
"50",2020-02-19,656.676432110171,0,0,1362.70997578981
"51",2020-02-20,434.150774792059,0,0,931.14945280993
"52",2020-02-21,481.818575573977,0,0,1023.3394431146
"53",2020-02-22,0,0,0,0
"54",2020-02-23,0,0,0,0
"55",2020-02-24,805.168340005211,0,0,1642.53816600071
"56",2020-02-25,446.206363687016,0,0,931.583825858423
"57",2020-02-26,0,0,0,0
"58",2020-02-27,504.921915396607,0,0,1093.56630123169
"59",2020-02-28,495.34244645186,0,0,1019.29040704222
"60",2020-02-29,0,0,0,0
"61",2020-03-01,0,0,0,0
"62",2020-03-02,560.332323247776,0,0,1145.3027810244
"63",2020-03-03,682.570846937708,0,0,1429.49941882881
"64",2020-03-04,573.326965744044,0,0,1165.88490777484
"65",2020-03-05,517.661492658681,0,0,1119.51521610985
"66",2020-03-06,511.856631394338,0,0,1051.03295838137
"67",2020-03-07,0,0,0,0
"68",2020-03-08,0,0,0,0
"69",2020-03-09,677.485537316181,0,0,1441.56032852438
"70",2020-03-10,343.420148596563,0,0,759.754405991704
"71",2020-03-11,392.034206574456,0,0,786.33414496718
"72",2020-03-12,343.605674174782,0,0,767.253981163831
"73",2020-03-13,142.916532587244,0,0,323.506557488166
"74",2020-03-14,0,0,0,0
"75",2020-03-15,0,0,0,0
"76",2020-03-16,974.25381233732,0,0,2063.14253790385
"77",2020-03-17,542.740255975836,193.176930372984,247.263133425015,920.328354572554
"78",2020-03-18,315.987958356665,0,0,710.461213718453
"79",2020-03-19,555.761162449248,0,0,1131.23746619892
"80",2020-03-20,385.007356222116,0,0,831.169721438059
"81",2020-03-21,0,0,0,0
"82",2020-03-22,0,0,0,0
"83",2020-03-23,540.827956721413,0,0,1116.00738683962
"84",2020-03-24,631.7384191174,0,0,1370.96003843253
"85",2020-03-25,342.956020383891,0,0,695.344768193726
"86",2020-03-26,371.285257711949,0,0,782.580387668582
"87",2020-03-27,403.948006678047,0,0,814.355459464003
"88",2020-03-28,0,0,0,0
"89",2020-03-29,0,0,0,0
"90",2020-03-30,536.542602640026,0,0,1082.66454257393
"91",2020-03-31,374.579936007365,0,0,775.037410353374
"92",2020-04-01,777.39610821569,0,0,1599.62956305161
"93",2020-04-02,507.327685615129,0,0,1062.29882600213
"94",2020-04-03,366.393389584217,0,0,749.86375814716
"95",2020-04-04,0,0,0,0
"96",2020-04-05,0,0,0,0
"97",2020-04-06,679.835968733281,0,0,1399.5824592523
"98",2020-04-07,998.353866872212,0,0,2001.12298617882
"99",2020-04-08,637.066083589997,0,0,1405.55313793677
"100",2020-04-09,78.719139439759,0,0,157.991443954483
"101",2020-04-10,485.486200111401,0,0,1010.44755328289
"102",2020-04-11,0,0,0,0
"103",2020-04-12,0,0,0,0
"104",2020-04-13,553.298218313391,45.4931450792604,45.7006664143984,1100.43204500791
"105",2020-04-14,620.36005657645,89.2669235716989,109.74067871496,1158.80294651645
"106",2020-04-15,783.546771199402,0,0,1584.3070795954
"107",2020-04-16,523.20569220951,0,0,1112.99182152961
"108",2020-04-17,1073.75444312576,387.998052009246,457.612581625744,1870.05761608635
"109",2020-04-18,0,0,0,0
"110",2020-04-19,0,0,0,0
"111",2020-04-20,824.93134163553,0,0,1760.62684665179
"112",2020-04-21,528.172179561413,0,0,1079.0902359097
"113",2020-04-22,854.033180281807,0,0,1722.50047642701
"114",2020-04-23,704.767216365718,0,0,1568.03768864451
"115",2020-04-24,665.798444295455,170.44317422672,201.272372296385,1254.49576049433
"116",2020-04-25,0,0,0,0
"117",2020-04-26,0,0,0,0
"118",2020-04-27,911.671118989953,0,0,1846.41195052853
"119",2020-04-28,878.471688116469,0,0,1756.9822165406
"120",2020-04-29,1047.30176219879,0,0,2126.21637754769
"121",2020-04-30,757.943591678841,0,0,1527.77215431811
"122",2020-05-01,1028.87553831231,0,0,2108.96512632679
"123",2020-05-02,567.088038282059,0,0,1147.10819617581
"124",2020-05-03,0,0,0,0
"125",2020-05-04,872.043474379428,0,0,1831.80006889646
"126",2020-05-05,857.581351597477,0,0,1757.85792074617
"127",2020-05-06,982.686032453711,0,0,2024.14645456465
"128",2020-05-07,904.326123112559,0,0,1815.77278174073
"129",2020-05-08,88.3429689746284,0,0,197.913004038636
"130",2020-05-09,0,0,0,0
"131",2020-05-10,0,0,0,0
"132",2020-05-11,831.92385594783,0,0,1792.55593830007
"133",2020-05-12,664.173260501606,0,0,1366.80151794564
"134",2020-05-13,590.946152784285,0,0,1271.54766031032
"135",2020-05-14,1013.48882599275,0,0,2066.76949358711
"136",2020-05-15,421.426797942958,0,0,893.09128793577
"137",2020-05-16,0,0,0,0
"138",2020-05-17,0,0,0,0
"139",2020-05-18,1376.08614440686,0,0,2770.32231729663
"140",2020-05-19,782.149096804119,0,0,1579.99163998914
"141",2020-05-20,635.906023644497,0,0,1358.99030650626
"142",2020-05-21,807.253664135961,0,0,1655.13832546412
"143",2020-05-22,466.723504294551,0,0,966.93019007823
"144",2020-05-23,0,0,0,0
"145",2020-05-24,0,0,0,0
"146",2020-05-25,889.419972472251,0,0,1845.96181101217
"147",2020-05-26,1017.78680032362,0,0,2048.83391090084
"148",2020-05-27,513.857038407473,0,0,1045.91827864132
"149",2020-05-28,772.538905392816,0,0,1630.24857674783
"150",2020-05-29,0,0,0,0
"151",2020-05-30,0,0,0,0
"152",2020-05-31,0,0,0,0
"153",2020-06-01,670.254704845455,0,0,1411.94366775138
"154",2020-06-02,0,0,0,0
"155",2020-06-03,0,0,0,0
"156",2020-06-04,273.284366050397,0,0,557.817459875972
"157",2020-06-05,129.212376481005,0,0,262.221294849745
"158",2020-06-06,0,0,0,0
"159",2020-06-07,0,0,0,0
"160",2020-06-08,437.976985086075,0,0,893.215079300854
"161",2020-06-09,100.545064278048,0,0,225.508653026032
"162",2020-06-10,781.979844241775,0,0,1578.3641311242
"163",2020-06-11,307.768934198566,0,0,668.031586356708
"164",2020-06-12,0,0,0,0
"165",2020-06-13,0,0,0,0
"166",2020-06-14,0,0,0,0
"167",2020-06-15,278.97374486361,0,0,617.710606411508
"168",2020-06-16,47.8794732920129,0,0,111.566720342
"169",2020-06-17,298.578113269019,0,0,679.309560174459
"170",2020-06-18,374.336065291455,0,0,795.575068669046
"171",2020-06-19,0,0,0,0
"172",2020-06-20,0,0,0,0
"173",2020-06-21,0,0,0,0
"174",2020-06-22,134.37061643385,0,0,275.014337548722
"175",2020-06-23,0,0,0,0
"176",2020-06-24,14.5000907739,0,0,34.9479635529165
"177",2020-06-25,60.9687146756542,0,0,146.345875475923
"178",2020-06-26,0,0,0,0
"179",2020-06-27,0,0,0,0
"180",2020-06-28,0,0,0,0
"181",2020-06-29,78.5764977443923,0,0,157.242865466031
"182",2020-06-30,512.893229166196,0,0,1043.73364182241
"183",2020-07-01,100.62842316034,0,0,207.231350359134
"184",2020-07-02,0,0,0,0
"185",2020-07-03,0,0,0,0
"186",2020-07-04,0,0,0,0
"187",2020-07-05,0,0,0,0
"188",2020-07-06,614.94431719579,0,0,1246.97370756085
"189",2020-07-07,0,0,0,0
"190",2020-07-08,278.143861026866,0,0,586.986004333229
"191",2020-07-09,41.4624168074009,0,0,83.0672249080784
"192",2020-07-10,0,0,0,0
"193",2020-07-11,0,0,0,0
"194",2020-07-12,0,0,0,0
"195",2020-07-13,154.353868555405,0,0,325.971075323907
"196",2020-07-14,0,0,0,0
"197",2020-07-15,297.667200787345,0,0,609.043185336986
"198",2020-07-16,261.827103135836,0,0,529.443746177628
"199",2020-07-17,0,0,0,0
"200",2020-07-18,0,0,0,0
"201",2020-07-19,0,0,0,0
"202",2020-07-20,0,0,0,0
"203",2020-07-21,0,0,0,0
"204",2020-07-22,284.094478839758,0,0,670.464046121165
"205",2020-07-23,444.841507422218,0,0,905.867216789739
"206",2020-07-24,0,0,0,0
"207",2020-07-25,0,0,0,0
"208",2020-07-26,0,0,0,0
"209",2020-07-27,78.5439903374998,0,0,186.003292024015
"210",2020-07-28,0,0,0,0
"211",2020-07-29,124.561706281675,0,0,263.995850516615
"212",2020-07-30,0,0,0,0
"213",2020-07-31,195.125486852957,0,0,400.08779283769
"214",2020-08-01,0,0,0,0
"215",2020-08-02,0,0,0,0
"216",2020-08-03,0,0,0,0
"217",2020-08-04,0,0,0,0
"218",2020-08-05,0,0,0,0
"219",2020-08-06,0,0,0,0
"220",2020-08-07,0,0,0,0
"221",2020-08-08,0,0,0,0
"222",2020-08-09,0,0,0,0
"223",2020-08-10,0,0,0,0
"224",2020-08-11,0,0,0,0
"225",2020-08-12,0,0,0,0
"226",2020-08-13,0,0,0,0
"227",2020-08-14,0,0,0,0
"228",2020-08-15,0,0,0,0
"229",2020-08-16,0,0,0,0
"230",2020-08-17,0,0,0,0
"231",2020-08-18,0,0,0,0
"232",2020-08-19,0,0,0,0
"233",2020-08-20,48.924097749295,0,0,140.563631580534
"234",2020-08-21,0,0,0,0
"235",2020-08-22,0,0,0,0
"236",2020-08-23,0,0,0,0
"237",2020-08-24,10.0002418442629,0,0,22.4273126348418
"238",2020-08-25,0,0,0,0
"239",2020-08-26,133.205014933367,0,0,283.452678036861
"240",2020-08-27,0,0,0,0
"241",2020-08-28,0,0,0,0
"242",2020-08-29,0,0,0,0
"243",2020-08-30,0,0,0,0
"244",2020-08-31,0,0,0,0
"245",2020-09-01,21.740135233745,0,0,54.5574258584369
"246",2020-09-02,0,0,0,0
"247",2020-09-03,0,0,0,0
"248",2020-09-04,0,0,0,0
"249",2020-09-05,0,0,0,0
"250",2020-09-06,0,0,0,0
"251",2020-09-07,0,0,0,0
"252",2020-09-08,0,0,0,0
"253",2020-09-09,0,0,0,0
"254",2020-09-10,31.1424831649996,0,0,62.6172111004797
"255",2020-09-11,0,0,0,0
"256",2020-09-12,0,0,0,0
"257",2020-09-13,0,0,0,0
"258",2020-09-14,0,0,0,0
"259",2020-09-15,0,0,0,0
"260",2020-09-16,118.071252771614,0,0,246.153888131245
"261",2020-09-17,0,0,0,0
"262",2020-09-18,0,0,0,0
"263",2020-09-19,0,0,0,0
"264",2020-09-20,0,0,0,0
"265",2020-09-21,0,0,0,0
"266",2020-09-22,0,0,0,0
"267",2020-09-23,0,0,0,0
"268",2020-09-24,0,0,0,0
"269",2020-09-25,0,0,0,0
"270",2020-09-26,0,0,0,0
"271",2020-09-27,0,0,0,0
"272",2020-09-28,0,0,0,0
"273",2020-09-29,0,0,0,0
"274",2020-09-30,0,0,0,0
"275",2020-10-01,0,0,0,0
"276",2020-10-02,0,0,0,0
"277",2020-10-03,0,0,0,0
"278",2020-10-04,0,0,0,0
"279",2020-10-05,333.907287890136,0,0,707.6998675945
"280",2020-10-06,0,0,0,0
"281",2020-10-07,0,0,0,0
"282",2020-10-08,0,0,0,0
"283",2020-10-09,0,0,0,0
"284",2020-10-10,0,0,0,0
"285",2020-10-11,0,0,0,0
"286",2020-10-12,0,0,0,0
"287",2020-10-13,137.896626085707,0,0,306.159807881485
"288",2020-10-14,4.19010359479408,0,0,15.475436794379
"289",2020-10-15,0,0,0,0
"290",2020-10-16,77.6746625979725,0,0,180.620666382137
"291",2020-10-17,0,0,0,0
"292",2020-10-18,0,0,0,0
"293",2020-10-19,0,0,0,0
"294",2020-10-20,0,0,0,0
"295",2020-10-21,0,0,0,0
"296",2020-10-22,0,0,0,0
"297",2020-10-23,14.216521484052,0,0,38.317620364485
"298",2020-10-24,0,0,0,0
"299",2020-10-25,0,0,0,0
"300",2020-10-26,0,0,0,0
"301",2020-10-27,0,0,0,0
"302",2020-10-28,0,0,0,0
"303",2020-10-29,0,0,0,0
"304",2020-10-30,35.1516359519931,0,0,108.346690049277
"305",2020-10-31,0,0,0,0
"306",2020-11-01,0,0,0,0
"307",2020-11-02,22.8076214969154,0,0,67.6257105227269
"308",2020-11-03,0,0,0,0
"309",2020-11-04,0,0,0,0
"310",2020-11-05,0,0,0,0
"311",2020-11-06,0,0,0,0
"312",2020-11-07,0,0,0,0
"313",2020-11-08,0,0,0,0
"314",2020-11-09,0,0,0,0
"315",2020-11-10,0,0,0,0
"316",2020-11-11,0,0,0,0
"317",2020-11-12,0,0,0,0
"318",2020-11-13,0,0,0,0
"319",2020-11-14,0,0,0,0
"320",2020-11-15,0,0,0,0
"321",2020-11-16,0,0,0,0
"322",2020-11-17,0,0,0,0
"323",2020-11-18,0,0,0,0
"324",2020-11-19,0,0,0,0
"325",2020-11-20,0,0,0,0
"326",2020-11-21,0,0,0,0
"327",2020-11-22,0,0,0,0
"328",2020-11-23,0,0,0,0
"329",2020-11-24,0,0,0,0
"330",2020-11-25,0,0,0,0
"331",2020-11-26,0,0,0,0
"332",2020-11-27,0,0,0,0
"333",2020-11-28,0,0,0,0
"334",2020-11-29,0,0,0,0
"335",2020-11-30,0,0,0,0
"336",2020-12-01,0,0,0,0
"337",2020-12-02,0,0,0,0
"338",2020-12-03,0,0,0,0
"339",2020-12-04,0,0,0,0
"340",2020-12-05,0,0,0,0
"341",2020-12-06,0,0,0,0
"342",2020-12-07,0,0,0,0
"343",2020-12-08,0,0,0,0
"344",2020-12-09,0,0,0,0
"345",2020-12-10,0,0,0,0
"346",2020-12-11,0,0,0,0
"347",2020-12-12,0,0,0,0
"348",2020-12-13,0,0,0,0
"349",2020-12-14,0,0,0,0
"350",2020-12-15,0,0,0,0
"351",2020-12-16,0,0,0,0
"352",2020-12-17,0,0,0,0
"353",2020-12-18,0,0,0,0
"354",2020-12-19,0,0,0,0
"355",2020-12-20,0,0,0,0
"356",2020-12-21,0,0,0,0
"357",2020-12-22,0,0,0,0
"358",2020-12-23,0,0,0,0
"359",2020-12-24,0,0,0,0
"360",2020-12-25,0,0,0,0
"361",2020-12-26,0,0,0,0
"362",2020-12-27,0,0,0,0
"363",2020-12-28,0,0,0,0
"364",2020-12-29,0,0,0,0
"365",2020-12-30,0,0,0,0
